id,msg_id,case_mes_id,case_type,age,sex,cause,army_relations,vus,army_type,army_sec_type,army_other,country,kpp,yService,voenk_region,voenk_city,voenk_district,kategory_h,kategory_z,date
1,1699,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Литва,Советск,,,NULL,NULL,,,2022-09-22
2,1756,NULL,NULL,NULL,NULL,"отсутсвие визы принимающей страны",NULL,NULL,NULL,NULL,,Иран,Шереметьево,,,NULL,NULL,,,2022-09-23
3,1791,NULL,NULL,NULL,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,,Литва,"Каменный Лог",,,NULL,NULL,,,2022-09-23
4,1800,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,ОАЭ,Домодедово,,,NULL,NULL,,,2022-09-24
5,1800,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Николаевка,,,NULL,NULL,А,,2022-09-24
6,1800,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Турция,Уфа,,,NULL,NULL,А,,2022-09-24
7,1862,NULL,NULL,33,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,стрелок,Казахстан,,,,NULL,NULL,,,2022-09-24
8,1862,NULL,NULL,35,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"не служил",Казахстан,,,,NULL,NULL,,,2022-09-24
9,1863,NULL,NULL,40,NULL,долг,NULL,NULL,NULL,NULL,"не служил",,Домодедово,,,NULL,NULL,В,,2022-09-24
10,1864,NULL,NULL,29,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,"не служил",Эстония,Ивангород,,,NULL,NULL,В,,2022-09-24
11,1882,NULL,NULL,39,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,"не служил",Эстония,Ивангород,,,NULL,NULL,,,2022-09-24
12,1887,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"Дежурный КПП",Казахстан,Петухово,,,NULL,NULL,,1,2022-09-24
13,1945,NULL,NULL,35,NULL,"отсутствие ковидного сертификата",NULL,NULL,NULL,NULL,"не служил",Азербайджан,Шереметьево,,,NULL,NULL,В,,2022-09-24
14,1963,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"Развед. Десант",Казахстан,Локоть,,,NULL,NULL,,,2022-09-24
15,1968,NULL,NULL,29,NULL,"отсутствие ковидного сертификата",NULL,NULL,NULL,NULL,,Азербайджан,Домодедово,,,NULL,NULL,,,2022-09-24
16,1981,NULL,NULL,30,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,артиллерия,Узбекистан,Казань,2009-2010,,NULL,NULL,Б,,2022-09-24
17,1986,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,Казахстан,Бугристое,,Екатеринбург,NULL,NULL,,,2022-09-24
18,1994,NULL,NULL,40,NULL,"отказ во въезде",NULL,NULL,NULL,NULL,"не служил",Эстония,Ивангород,,,NULL,NULL,,,2022-09-24
19,2016,NULL,NULL,24,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Казахстан,Казанское,,,NULL,NULL,А,,2022-09-25
