Column1;id;age;cause;vus;country;kpp;yService;voenk;kategory;katZ;date;date_wo_time
0;1598;23.0;отказ во въезде;;Финляндия;Торфяновка;;;;;22.09.2022 6:49;2022-09-22
1;1699;NULL;отказ во въезде;;Литва;Советск;;;;;22.09.2022 23:26;2022-09-22
2;1756;NULL;отсутсвие визы принимающей страны;;Иран;Шереметьево;;;;;23.09.2022 15:29;2022-09-23
3;1791;NULL;отказ во въезде;;Литва;Каменный Лог;;;;;23.09.2022 5:00;2022-09-23
4;1800;30.0;отказ от военкомата;служил;ОАЭ;Домодедово;;;;;24.09.2022 8:00;2022-09-24
5;1800;26.0;отказ от военкомата;служил;Казахстан;Николаевка;;;А;;24.09.2022 0:00;2022-09-24
6;1800;26.0;отказ от военкомата;служил;Турция;Уфа;;;А;;24.09.2022 8:00;2022-09-24
7;1862;33.0;отказ от военкомата;стрелок;Казахстан;;;;;;24.09.2022 12:21;2022-09-24
8;1862;35.0;отказ от военкомата;не служил;Казахстан;;;;;;24.09.2022 12:21;2022-09-24
9;1863;40.0;долг;не служил;;Домодедово;;;В;;24.09.2022 12:26;2022-09-24
10;1864;29.0;отказ во въезде;не служил;Эстония;Ивангород;;;В;;24.09.2022 12:33;2022-09-24
11;1882;39.0;отказ во въезде;не служил;Эстония;Ивангород;;;;;24.09.2022 13:57;2022-09-24
12;1887;26.0;отказ от военкомата;Дежурный КПП;Казахстан;Петухово;;;;1.0;24.09.2022 14:15;2022-09-24
13;1945;35.0;отсутствие ковидного сертификата;не служил;Азербайджан;Шереметьево;;;В;;24.09.2022 19:32;2022-09-24
14;1963;24.0;отказ от военкомата;Развед. Десант;Казахстан;Локоть;;;;;24.09.2022 20:32;2022-09-24
15;1968;29.0;отсутствие ковидного сертификата;;Азербайджан;Домодедово;;;;;24.09.2022 20:50;2022-09-24
16;1981;30.0;отказ от военкомата;артиллерия;Узбекистан;Казань;2009-2010;;Б;;24.09.2022 21:31;2022-09-24
17;1986;NULL;отказ от военкомата;;Казахстан;Бугристое;;Екатеринбург;;;24.09.2022 22:47;2022-09-24
18;1994;40.0;отказ во въезде;не служил;Эстония;Ивангород;;;;;24.09.2022 23:08;2022-09-24
19;2016;24.0;отказ от военкомата;служил;Казахстан;Казанское;;;А;;25.09.2022 8:59;2022-09-25
20;2016;26.0;отказ от военкомата;служил;Казахстан;Казанское;;;А;;25.09.2022 8:59;2022-09-25
21;2064;32.0;отказ во въезде;в ВС РФ не служил (ВСУ);Эстония;Печоры;;;;;25.09.2022 12:30;2022-09-25
22;2069;NULL;отказ от военкомата;служил;;Курумоч;2020-2021;;;;25.09.2022 12:59;2022-09-25
23;2080;29.0;отказ от военкомата;служил;Казахстан;Сагарчин;;;;;25.09.2022 13:59;2022-09-25
24;2090;28.0;отказ от военкомата;артиллерия, рядовой;Киргизия;Красноярск;;;А;;25.09.2022 14:26;2022-09-25
25;2096;34.0;отказ во въезде;;Литва;Чернышевское;;;;;25.09.2022 14:43;2022-09-25
26;2098;28.0;отказ от военкомата;служил;Армения;Курумоч;;;;;25.09.2022 14:48;2022-09-25
27;2103;NULL;отказ во въезде;;Эстония;Ивангород;;;;;25.09.2022 15:34;2022-09-25
28;2111;38.0;долг;906;Казахстан;Караозек;;;;1.0;25.09.2022 2:00;2022-09-25
29;2123;28.0;отказ от военкомата;оператор радиолокационных станций ВКС;Казахстан;;2016-2017;;Б2;1.0;25.09.2022 13:23;2022-09-25
30;2129;NULL;отказ во въезде;;Эстония;Ивангород;;;;;25.09.2022 18:40;2022-09-25
31;2134;26.0;отказ от военкомата;водитель;Казахстан;Бугристое;;Архангельская область;;1.0;25.09.2022 19:24;2022-09-25
32;2136;30.0;отказ от военкомата;служил;Грузия;Верхний Ларс;;;;;25.09.2022 19:35;2022-09-25
33;2137;27.0;отказ от военкомата;водитель;Азербайджан;Внуково;;;В;;25.09.2022 19:36;2022-09-25
34;2171;35.0;отказ во въезде;;Эстония;Ивангород;;;В;2.0;25.09.2022 21:31;2022-09-25
35;2214;32.0;отказ во въезде;;Грузия;Граница с Арменией;;;;;25.09.2022 22:17;2022-09-25
36;2243;31.0;отказ от военкомата;служил;Казахстан;Петухово;;;;;26.09.2022 8:02;2022-09-26
37;2243;30.0;отказ от военкомата;;Турция;Шереметьево;;;;;26.09.2022 8:02;2022-09-26
38;2244;24.0;отказ от военкомата;военная кафедра;Казахстан;Кулунда;;;;;26.09.2022 8:03;2022-09-26
39;2244;41.0;долг;не служил;Казахстан;Ольховка;;;В;;26.09.2022 8:03;2022-09-26
40;2244;30.0;отказ от военкомата;;Турция;Внуково;;;;;26.09.2022 8:03;2022-09-26
41;2244;25.0;отказ от военкомата;служил;;;;;А;;26.09.2022 8:03;2022-09-26
42;2245;27.0;;наводчик реактивной артиллерии;Казахстан;Бугристое;;;А;;26.09.2022 8:05;2022-09-26
43;2246;25.0;отказ от военкомата;служил;Беларусь;Шереметьево;;;;;26.09.2022 8:07;2022-09-26
44;2298;28.0;отказ во въезде;;Эстония;Ивангород;;;;;26.09.2022 13:55;2022-09-26
45;2304;26.0;;механик-водитель;Турция;Минск;;;;;23.09.2022 14:30;2022-09-23
46;2305;52.0;антиковидные ограничения;;Польша;Брест;;;;;24.09.2022 14:35;2022-09-24
47;2310;30.0;отказ от военкомата;служил;Казахстан;Теплое;;Архангельск;А2;;26.09.2022 15:08;2022-09-26
48;2318;NULL;отказ от военкомата;ПВО, военная кафедра;Узбекистан;Внуково;;;А;;26.09.2022 16:24;2022-09-26
49;2319;29.0;отказ от военкомата;саниструктор;Казахстан;Сагарчин;;Челябинск;;;26.09.2022 16:26;2022-09-26
50;2322;NULL;отказ от военкомата;механик-водитель средних танков;Армения;Домодедово;2009-2010;;А1;1.0;26.09.2022 16:37;2022-09-26
51;2328;24.0;отказ от военкомата;военная кафедра;Армения;Минеральные Воды;;;;;26.09.2022 17:27;2022-09-26
52;2329;30.0;отказ от военкомата;служил;Узбекистан;Внуково;;;;1.0;26.09.2022 17:32;2022-09-26
53;2332;30.0;отказ от военкомата;связист сержант;Казахстан;Озинки;;;;1.0;26.09.2022 11:47;2022-09-26
54;2336;NULL;отсутствие ковидного сертификата;;Азербайджан;;;;;;26.09.2022 18:09;2022-09-26
55;2337;28.0;просроченный украинский загранпаспорт;;Казахстан;Караозек;;;;;25.09.2022 18:14;2022-09-25
56;2340;24.0;отсутствие загранпаспорта;;;;;;;;26.09.2022 18:30;2022-09-26
57;2341;28.0;отказ от военкомата;;Казахстан;Михайловское;2014-2015;Кемерово;Б3;1.0;26.09.2022 18:40;2022-09-26
58;2341;23.0;отказ от военкомата;;Казахстан;Михайловское;2019-2020;Кемерово;Б3;1.0;26.09.2022 18:40;2022-09-26
59;2353;25.0;отказ от военкомата;водитель;Казахстан;;;Хакасия;Б;;26.09.2022 19:18;2022-09-26
60;2372;55.0;отказ во въезде;служил;Польша;;;;;1.0;25.09.2022 20:38;2022-09-25
61;2374;26.0;;служил;Армения;Минеральные Воды;;;В;;26.09.2022 20:41;2022-09-26
62;2386;29.0;отказ от военкомата;РЭБ;Казахстан;Петухово;;Петрозаводск, Карелия;;;26.09.2022 21:01;2022-09-26
63;2405;NULL;отказ от военкомата;не служил;Казахстан;Караозек;;Краснодарский край;;;26.09.2022 23:00;2022-09-26
64;2426;27.0;долг;не служил;Грузия;Верхний Ларс;;;;;26.09.2022 8:00;2022-09-26
65;2433;30.0;отказ от военкомата;механик-водитель, инженерные войска;Казахстан;Павловка;;Кемеровская область;А;;27.09.2022 9:47;2022-09-27
66;2434;28.0;;420, военная кафедра;Армения;Внуково;;;;;27.09.2022 9:49;2022-09-27
67;2436;NULL;долг;не служил;Казахстан;Мариинский;;;В;;27.09.2022 9:49;2022-09-27
68;2436;24.0;отказ от военкомата;служил;Казахстан;Исилькуль;;;;;25.09.2022 9:49;2022-09-25
69;2436;27.0;отказ от военкомата;СпН;Казахстан;Орск;;;А;;27.09.2022 9:49;2022-09-27
70;2437;24.0;отказ от военкомата;служил;Грузия;Верхний Ларс;;;;1.0;26.09.2022 9:50;2022-09-26
71;2439;28.0;отказ от военкомата;100, стрелок, росгвардия;Казахстан;Мариинское;;Москва;;1.0;27.09.2022 10:30;2022-09-27
72;2440;NULL;отказ во въезде;;Эстония;;;;;;27.09.2022 10:31;2022-09-27
73;2440;NULL;отказ от военкомата;артиллерия;Киргизия;Шереметьево;2014-2015;;;1.0;26.09.2022 17:31;2022-09-26
74;2441;NULL;на велосипеде;;Казахстан;Озинки;;;;;27.09.2022 10:32;2022-09-27
75;2441;32.0;отказ от военкомата;инженер, офицер;Казахстан;Михайловка;;;;;27.09.2022 10:32;2022-09-27
76;2449;26.0;отказ от военкомата;служил;Армения;Сочи;;;А1;;27.09.2022 11:50;2022-09-27
77;2469;38.0;отказ от военкомата;офицер запаса;Турция;Внуково;;Смоленск;;;27.09.2022 12:55;2022-09-27
78;2481;34.0;отказ от военкомата;командир отделения стрелков, сержант;Грузия;Верхний Ларс;;;А;;27.09.2022 13:25;2022-09-27
79;2494;31.0;отказ от военкомата;служил;Армения;Курумочи;;;;;27.09.2022 14:17;2022-09-27
80;2496;30.0;отказ от военкомата;;Беларусь;Новосокольники;;;;;27.09.2022 0:20;2022-09-27
81;2500;36.0;отказ от военкомата;артиллерия, военная кафедра;Финляндия;Торфяновка;;;В;;27.09.2022 14:27;2022-09-27
82;2502;35.0;отказ от военкомата;военная кафедра;Казахстан;Бугристое;;;А;;27.09.2022 14:28;2022-09-27
83;2505;31.0;;служил;Казахстан;Мариинский;;;;1.0;27.09.2022 14:31;2022-09-27
84;2506;25.0;отказ от военкомата;140, военная кафедра;Киргизия;Домодедово;;;;;27.09.2022 14:33;2022-09-27
85;2530;29.0;отказ от военкомата;артиллерия;Казахстан;Озинки;;;;;27.09.2022 10:00;2022-09-27
86;2520;36.0;отказ от военкомата;военная кафедра, офицер;Таджикистан;Жуковский;;;В;;27.09.2022 14:45;2022-09-27
87;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
88;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
89;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
90;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
91;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
92;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
93;2534;NULL;отказ во въезде;;Польша;Мамоново;;;;;27.09.2022 15:03;2022-09-27
